2023-08-28 01:15:54.240 | WARNING  | __mp_main__:<module>:32 - 代理: http://127.0.0.1:10809
2023-08-28 01:15:56.714 | SUCCESS  | cellfunctions_:save_img:247 - 下载图片成功
2023-08-28 01:15:56.715 | SUCCESS  | __main__:download_imgs:137 - downloaded 1 img ......
2023-08-28 01:15:56.718 | SUCCESS  | __main__:save_img_and_todb:229 - imported: F:\database_learn\k_spider\pictures10\361175.jpg
2023-08-28 01:15:56.738 | SUCCESS  | __main__:save_img_and_todb:265 - DataBase had added 1 img data...
2023-08-28 01:15:56.740 | SUCCESS  | __main__:mode_a:356 - totally DataBase had added 3 img data....
2023-08-28 01:16:21.293 | WARNING  | __main__:<module>:32 - 代理: http://127.0.0.1:10809
2023-08-28 01:16:21.295 | INFO     | __main__:<module>:396 - 获取headers.......
2023-08-28 01:16:21.296 | SUCCESS  | __main__:<module>:412 - 获取headers成功......
2023-08-28 01:16:21.297 | SUCCESS  | __main__:mode_a:301 - 单次下载数量:10
2023-08-28 01:16:21.298 | SUCCESS  | __main__:mode_a:302 - 并发数:10
2023-08-28 01:16:21.299 | SUCCESS  | __main__:mode_a:303 - 下载图片路径:F:\database_learn\k_spider\pictures10
2023-08-28 01:16:21.300 | SUCCESS  | __main__:mode_a:304 - 下载次数:2
2023-08-28 01:16:21.301 | INFO     | __main__:link_db:150 - 连接数据库中...........
2023-08-28 01:16:21.374 | SUCCESS  | __main__:link_db:173 - 图像数据表: kimg
2023-08-28 01:16:21.376 | SUCCESS  | __main__:link_db:174 - tag数据表: tags
2023-08-28 01:16:21.377 | SUCCESS  | __main__:link_db:176 - link dbas 准备导入数据.....
2023-08-28 01:16:21.679 | INFO     | __main__:mode_a:325 - 数据库共有39912条图像数据
2023-08-28 01:16:23.315 | ERROR    | cellfunctions_:get_source:126 - 363573图片不存在或者被删除了
2023-08-28 01:16:23.315 | ERROR    | cellfunctions_:get_source:127 - https://konachan.com/post/show/363573/
2023-08-28 01:16:23.382 | ERROR    | cellfunctions_:get_source:126 - 364662图片不存在或者被删除了
2023-08-28 01:16:23.383 | ERROR    | cellfunctions_:get_source:127 - https://konachan.com/post/show/364662/
2023-08-28 01:16:23.536 | SUCCESS  | cellfunctions_:get_source:138 - 获取源码成功
2023-08-28 01:16:23.806 | ERROR    | cellfunctions_:get_source:126 - 363563图片不存在或者被删除了
2023-08-28 01:16:23.807 | ERROR    | cellfunctions_:get_source:127 - https://konachan.com/post/show/363563/
2023-08-28 01:16:23.835 | ERROR    | cellfunctions_:get_source:126 - 362220图片不存在或者被删除了
2023-08-28 01:16:23.837 | ERROR    | cellfunctions_:get_source:127 - https://konachan.com/post/show/362220/
2023-08-28 01:16:23.866 | ERROR    | cellfunctions_:get_source:126 - 366380图片不存在或者被删除了
2023-08-28 01:16:23.868 | ERROR    | cellfunctions_:get_source:127 - https://konachan.com/post/show/366380/
2023-08-28 01:16:23.989 | ERROR    | cellfunctions_:get_source:126 - 368672图片不存在或者被删除了
2023-08-28 01:16:23.991 | ERROR    | cellfunctions_:get_source:127 - https://konachan.com/post/show/368672/
2023-08-28 01:16:24.248 | ERROR    | cellfunctions_:get_source:126 - 369660图片不存在或者被删除了
2023-08-28 01:16:24.249 | ERROR    | cellfunctions_:get_source:127 - https://konachan.com/post/show/369660/
2023-08-28 01:16:24.920 | ERROR    | cellfunctions_:get_source:126 - 362383图片不存在或者被删除了
2023-08-28 01:16:24.922 | ERROR    | cellfunctions_:get_source:127 - https://konachan.com/post/show/362383/
2023-08-28 01:16:25.709 | ERROR    | cellfunctions_:get_source:126 - 365166图片不存在或者被删除了
2023-08-28 01:16:25.710 | ERROR    | cellfunctions_:get_source:127 - https://konachan.com/post/show/365166/
2023-08-28 01:16:27.920 | WARNING  | __mp_main__:<module>:32 - 代理: http://127.0.0.1:10809
2023-08-28 01:16:32.351 | SUCCESS  | cellfunctions_:save_img:247 - 下载图片成功
2023-08-28 01:16:32.353 | SUCCESS  | __main__:download_imgs:137 - downloaded 1 img ......
2023-08-28 01:16:32.356 | SUCCESS  | __main__:save_img_and_todb:229 - imported: F:\database_learn\k_spider\pictures10\361621.jpg
2023-08-28 01:16:32.383 | SUCCESS  | __main__:save_img_and_todb:265 - DataBase had added 1 img data...
2023-08-28 01:16:32.384 | SUCCESS  | __main__:mode_a:356 - totally DataBase had added 1 img data....
2023-08-28 01:16:32.385 | INFO     | __main__:link_db:150 - 连接数据库中...........
2023-08-28 01:16:32.391 | SUCCESS  | __main__:link_db:173 - 图像数据表: kimg
2023-08-28 01:16:32.392 | SUCCESS  | __main__:link_db:174 - tag数据表: tags
2023-08-28 01:16:32.394 | SUCCESS  | __main__:link_db:176 - link dbas 准备导入数据.....
2023-08-28 01:16:32.653 | INFO     | __main__:mode_a:325 - 数据库共有39913条图像数据
2023-08-28 01:16:33.393 | ERROR    | cellfunctions_:get_source:126 - 367276图片不存在或者被删除了
2023-08-28 01:16:33.394 | ERROR    | cellfunctions_:get_source:127 - https://konachan.com/post/show/367276/
2023-08-28 01:16:33.419 | ERROR    | cellfunctions_:get_source:126 - 368598图片不存在或者被删除了
2023-08-28 01:16:33.420 | ERROR    | cellfunctions_:get_source:127 - https://konachan.com/post/show/368598/
2023-08-28 01:16:33.983 | ERROR    | cellfunctions_:get_source:126 - 362887图片不存在或者被删除了
2023-08-28 01:16:33.984 | ERROR    | cellfunctions_:get_source:127 - https://konachan.com/post/show/362887/
2023-08-28 01:16:33.989 | ERROR    | cellfunctions_:get_source:126 - 367553图片不存在或者被删除了
2023-08-28 01:16:33.990 | ERROR    | cellfunctions_:get_source:127 - https://konachan.com/post/show/367553/
